"date","open","high","low","close","adjClose","volume","unadjustedVolume","change","changePercent","vwap","label","changeOverTime"
"2015-04-09","125.85","126.58","124.66","126.56","117.09","32484000","32484000","-0.71","-0.564","125.93333","April 09, 15","-0.00564"
"2015-04-10","125.95","127.21","125.26","127.1","117.59","40188000","40188000","-1.15","-0.913","126.52333","April 10, 15","-0.00913"
"2015-04-13","128.37","128.57","126.61","126.85","117.36","36365100","36365100","1.52","1.184","127.34333","April 13, 15","0.01184"
"2015-04-14","127.0","127.29","125.91","126.3","116.85","25524600","25524600","0.7","0.551","126.5","April 14, 15","0.00551"
"2015-04-15","126.41","127.13","126.01","126.78","117.3","28970400","28970400","-0.37","-0.293","126.64","April 15, 15","-0.00293"
"2015-04-16","126.28","127.1","126.11","126.17","116.73","28369000","28369000","0.11","0.087","126.46","April 16, 15","0.00087"
"2015-04-17","125.55","126.14","124.46","124.75","115.42","51957000","51957000","0.8","0.637","125.11667","April 17, 15","0.00637"
"2015-04-20","125.57","128.12","125.17","127.6","118.06","47054300","47054300","-2.03","-1.617","126.96333","April 20, 15","-0.01617"
"2015-04-21","128.1","128.2","126.67","126.91","117.42","32435100","32435100","1.19","0.929","127.26","April 21, 15","0.00929"
"2015-04-22","126.99","128.87","126.32","128.62","119.0","37654500","37654500","-1.63","-1.284","127.93667","April 22, 15","-0.01284"
"2015-04-23","128.3","130.42","128.14","129.67","119.97","45770900","45770900","-1.37","-1.068","129.41","April 23, 15","-0.01068"
"2015-04-24","130.49","130.63","129.23","130.28","120.54","44525900","44525900","0.21","0.161","130.04667","April 24, 15","0.00161"
"2015-04-27","132.31","133.13","131.15","132.65","122.73","96954200","96954200","-0.34","-0.257","132.31","April 27, 15","-0.00257"
"2015-04-28","134.46","134.54","129.57","130.56","120.8","118924000","118924000","3.9","2.9","131.55667","April 28, 15","0.029"
"2015-04-29","130.16","131.59","128.3","128.64","119.02","63386100","63386100","1.52","1.168","129.51","April 29, 15","0.01168"
"2015-04-30","128.64","128.64","124.58","125.15","115.79","83195400","83195400","3.49","2.713","126.12333","April 30, 15","0.02713"
"2015-05-01","126.1","130.13","125.3","128.95","119.31","58512600","58512600","-2.85","-2.26","128.12667","May 01, 15","-0.0226"
"2015-05-04","129.5","130.57","128.26","128.7","119.07","50988300","50988300","0.8","0.618","129.17667","May 04, 15","0.00618"
"2015-05-05","128.15","128.45","125.78","125.8","116.39","49271400","49271400","2.35","1.834","126.67667","May 05, 15","0.01834"
"2015-05-06","126.56","126.75","123.36","125.01","115.66","72141000","72141000","1.55","1.225","125.04","May 06, 15","0.01225"
"2015-05-07","124.77","126.08","124.02","125.26","116.38","43940900","43940900","-0.49","-0.393","125.12","May 07, 15","-0.00393"
"2015-05-08","126.68","127.62","126.11","127.62","118.57","55550400","55550400","-0.94","-0.742","127.11667","May 08, 15","-0.00742"
"2015-05-11","127.39","127.56","125.63","126.32","117.36","42035800","42035800","1.07","0.84","126.50333","May 11, 15","0.0084"
"2015-05-12","125.6","126.88","124.82","125.87","116.94","48160000","48160000","-0.27","-0.215","125.85667","May 12, 15","-0.00215"
"2015-05-13","126.15","127.19","125.87","126.01","117.07","34694200","34694200","0.14","0.111","126.35667","May 13, 15","0.00111"
"2015-05-14","127.41","128.95","127.16","128.95","119.8","45203500","45203500","-1.54","-1.209","128.35333","May 14, 15","-0.01209"
